entity,type,biome,hp,speed,damage,drops,respawn_s,notes
seed,collectible,all,,,,1,,"bobs in place, +1 score"
golden_seed,collectible,all,,,,5,60,"rare, spawns after 60s"
feather,collectible,forest,,,,10,,"one per level, unlocks glide upgrade"
crow,enemy,forest,3,80,1,seed,20,"patrols a branch, dives when the chick is below"
crow_elder,enemy,forest,5,70,2,golden_seed,45,"night only, wider dive"
hawk,enemy,river,6,140,2,,60,"circles overhead, three passes"
frog,enemy,river,2,40,1,seed,15,"jumps in an arc, harmless mid-air"
pike,enemy,river,4,120,2,,30,"lunges from water when the chick hovers"
beetle,enemy,canopy,1,30,1,seed,10,"walks along branches, flips when hit"
lantern,pickup,night,,,,,90,"extends radius by 32px for 20s"
updraft,pickup,canopy,,,,,,"lifts the chick 96px, resets glide"
nest,checkpoint,all,,,,,,"sets respawn point"
old_nest,checkpoint,forest,,,,,,"level start"
water,hazard,river,,,3,,,"instant respawn at last nest"
thorns,hazard,forest,,,1,,,"knockback, no respawn"
wind,hazard,canopy,,,,,,"pushes sideways 40px/s"
